NumberPrefix,Rate,Description,SubDescription
93,0.24,AFGHANISTAN,Proper
9320,0.24,AFGHANISTAN,Kabul
9321,0.24,AFGHANISTAN,Kabul
9322,0.24,AFGHANISTAN,Kabul
9323,0.24,AFGHANISTAN,Kabul
9324,0.24,AFGHANISTAN,Kabul
9325,0.24,AFGHANISTAN,Kabul
9326,0.24,AFGHANISTAN,Kabul
9327,0.24,AFGHANISTAN,Kabul
9328,0.24,AFGHANISTAN,Kabul
9370,0.24,AFGHANISTAN,Mobile
9375,0.24,AFGHANISTAN,Mobile
9377,0.24,AFGHANISTAN,Mobile Areeba
9378,0.24,AFGHANISTAN,Mobile Etisalat
9379,0.24,AFGHANISTAN,Mobile Roshan
247,1.38,ALAND ISLANDS,Ascension Island
355,0.22,ALBANIA,Albania
3554,0.22,ALBANIA,Tirana
35567,0.22,ALBANIA,Mobile
35568,0.22,ALBANIA,Mobile AMC
35569,0.22,ALBANIA,Mobile Vodafone
213,0.07,ALGERIA,Algeria
21321,0.07,ALGERIA,Algiers
21355,0.22,ALGERIA,Mobile Wataniya
21356,0.22,ALGERIA,Mobile Wataniya
21366,0.22,ALGERIA,Mobile
21369,0.22,ALGERIA,Mobile
21377,0.22,ALGERIA,Mobile Orascom
21379,0.22,ALGERIA,Mobile Orascom
2139619,0.22,ALGERIA,Mobile
1684,0.06,AMERICAN SAMOA,American Samoa
376,0.15,ANDORRA,Andorra
3763,0.15,ANDORRA,Mobile
3764,0.15,ANDORRA,Mobile
3765,0.15,ANDORRA,Mobile
3766,0.15,ANDORRA,Mobile
244,0.15,ANGOLA,Angola
24491,0.15,ANGOLA,Mobile
24492,0.15,ANGOLA,Mobile Unitel
24493,0.15,ANGOLA,Mobile Unitel
1264,0.22,ANGUILLA,Anguilla
1264538,0.22,ANGUILLA,Mobile
1264539,0.22,ANGUILLA,Mobile
1264543,0.22,ANGUILLA,Mobile
672,1.14,ANTARCTICA,Antarctic Territories
1268,0.17,ANTIGUA AND BARBUDA,Antigua & Barbuda
126872,0.17,ANTIGUA AND BARBUDA,Mobile
54,0.04,ARGENTINA,Argentina
5411,0.04,ARGENTINA,Buenos Aires
54221,0.04,ARGENTINA,La Plata
54223,0.04,ARGENTINA,Cities Group 1
54230,0.04,ARGENTINA,Cities Group 1
542321,0.04,ARGENTINA,Cities Group 1
542322,0.04,ARGENTINA,Cities Group 1
542323,0.04,ARGENTINA,Cities Group 1
542324,0.04,ARGENTINA,Cities Group 1
542327,0.04,ARGENTINA,Cities Group 1
542328,0.04,ARGENTINA,Cities Group 1
542329,0.04,ARGENTINA,Cities Group 1
54261,0.04,ARGENTINA,Mendoza
542640,0.04,ARGENTINA,Cities Group 1
542641,0.04,ARGENTINA,Cities Group 1
542642,0.04,ARGENTINA,Cities Group 1
542643,0.04,ARGENTINA,Cities Group 1
542644,0.04,ARGENTINA,Cities Group 1
542645,0.04,ARGENTINA,Cities Group 1
542649,0.04,ARGENTINA,Cities Group 1
54291,0.04,ARGENTINA,Bahia Blanca
542954,0.04,ARGENTINA,Cities Group 1
54299,0.04,ARGENTINA,Cities Group 1
543320,0.04,ARGENTINA,Cities Group 1
543321,0.04,ARGENTINA,Cities Group 1
543322,0.04,ARGENTINA,Cities Group 1
543323,0.04,ARGENTINA,Cities Group 1
543324,0.04,ARGENTINA,Cities Group 1
543325,0.04,ARGENTINA,Cities Group 1
543326,0.04,ARGENTINA,Cities Group 1
543328,0.04,ARGENTINA,Cities Group 1
543329,0.04,ARGENTINA,Cities Group 1
54341,0.04,ARGENTINA,Rosario
54342,0.04,ARGENTINA,Santa Fe
543430,0.04,ARGENTINA,Cities Group 1
543431,0.04,ARGENTINA,Cities Group 1
543432,0.04,ARGENTINA,Cities Group 1
543433,0.04,ARGENTINA,Cities Group 1
543434,0.04,ARGENTINA,Cities Group 1
543439,0.04,ARGENTINA,Cities Group 1
543461,0.04,ARGENTINA,Cities Group 1
543462,0.04,ARGENTINA,Cities Group 1
543464,0.04,ARGENTINA,Cities Group 1
543476,0.04,ARGENTINA,Cities Group 1
543480,0.04,ARGENTINA,Cities Group 1
543481,0.04,ARGENTINA,Cities Group 1
543484,0.04,ARGENTINA,Cities Group 1
543485,0.04,ARGENTINA,Cities Group 1
543486,0.04,ARGENTINA,Cities Group 1
